,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distince,distance
32,01-10 01,1,4,1,3.5,39938.0,396.2,22.3,100,1,14,5172,1,17,4.132,1,32,4.118,1,15,6,1,24,5,8835.26,0.0,0.0
33,01-10 01,1,4,1,0.0,39938.0,396.5,4.6,100,1,14,5175,1,17,4.134,1,32,4.118,1,15,6,1,24,5,1823.8999999999999,0.0,0.0
34,01-10 01,1,4,1,0.0,39938.0,396.7,1.9,100,1,14,5175,1,76,4.137,1,16,4.126,1,15,6,1,24,5,753.7299999999999,0.0,0.0
35,01-10 01,1,4,1,2.2,39938.0,396.5,3.0,100,1,13,5182,1,76,4.136,1,16,4.126,1,15,6,1,24,5,1189.5,0.0,0.0
36,01-10 01,1,4,1,0.0,39938.0,396.7,1.7,100,1,14,5182,1,76,4.137,1,16,4.124,1,15,6,1,24,5,674.39,0.0,0.0
37,01-10 01,1,4,1,0.0,39938.0,396.5,18.2,100,1,14,5182,1,76,4.134,1,16,4.115,1,15,6,1,24,5,7216.299999999999,0.0,0.0
38,01-10 01,1,4,1,1.0,39938.0,396.0,3.4,100,1,14,5212,1,17,4.133,1,75,4.112,1,15,6,1,24,5,1346.3999999999999,0.0,0.0
39,01-10 01,1,4,1,0.0,39938.0,395.2,2.0,100,1,14,5212,1,17,4.133,1,75,4.114,1,15,6,1,24,5,790.4,0.0,0.0
40,01-10 01,1,4,1,0.0,39938.0,396.5,0.8,100,1,15,5212,1,17,4.134,1,75,4.12,1,15,6,1,24,5,317.20000000000005,0.0,0.0
41,01-10 01,1,4,1,0.0,39938.0,396.5,1.4,100,1,15,5212,1,17,4.135,1,75,4.121,1,15,6,1,24,5,555.0999999999999,0.0,0.0
42,01-10 01,1,4,1,0.0,39938.0,396.5,1.3,100,1,15,5182,1,76,4.133,1,47,4.12,1,15,6,1,24,5,515.45,0.0,0.0
43,01-10 01,1,4,1,0.0,39938.0,396.2,18.3,100,1,15,5182,1,76,4.134,1,47,4.119,1,15,6,1,24,5,7250.46,0.0,0.0
44,01-10 01,1,4,1,0.0,39938.0,396.5,4.6,100,1,15,5175,1,76,4.134,1,47,4.119,1,15,6,1,24,5,1823.8999999999999,0.0,0.0
